listing_id,name,host_id,host_name,Boroughs,neighbourhood,price,number_of_reviews,last_review,reviews_per_month,availability_365,Boroughs_ID
6611592,Modern 2 bedroom apt-great location,4124666,Rafik,Queens,Ditmars Steinway,180,67,9/18/2017,3.44,18,4.0
15392868,FURNISHED PRIVITE ROOM,1097998,Umut,Queens,Ditmars Steinway,80,2,4/21/2017,0.33,89,4.0
20307087,Private 1-Bedroom Garden Apartment w Prvt Backyard,82359141,Peter,Queens,Ditmars Steinway,106,5,9/17/2017,3.33,308,4.0
12377755,Beautiful Bedroom for 2 by the Park,66889113,Jocelyn,Queens,Ditmars Steinway,55,5,6/3/2016,0.3,0,4.0
19848103,Deluxe NYC 3bedroom apartment minutes to Manhattan,68907781,Dafni,Queens,Ditmars Steinway,200,4,9/7/2017,2.03,79,4.0
17684828,Amazing Astoria New York 2 bedroom 10 min to NYC,120456470,Nicholas,Queens,Ditmars Steinway,200,7,9/12/2017,1.22,92,4.0
18601252,"Amazing Private Room,Great Location",129180401,Sinem,Queens,Ditmars Steinway,49,6,9/15/2017,1.33,275,4.0
4772987,Queen size bedroom. 15 min to NYC,24597265,Freda,Queens,Ditmars Steinway,55,13,6/11/2017,0.45,353,4.0
19910705,Spacious apartment that's practically all yours!,90615739,Taharah,Queens,Ditmars Steinway,90,1,9/10/2017,1.0,179,4.0
9555648,Groundfloor APT-15 min Central Park,23815371,Tina,Queens,Ditmars Steinway,95,67,9/17/2017,3.74,310,4.0
6670064,Modern Luxury Apartment 10 minutes from Manhattan,33386619,Ryan,Queens,Ditmars Steinway,65,9,1/1/2017,0.34,362,4.0
2738965,3 BEDROOM Apartment-Walk to Subway!,7693749,Evan,Queens,Ditmars Steinway,178,161,9/12/2017,3.82,93,4.0
4541187,Cozy 1BR Apartment in Astoria,23185328,Deniz,Queens,Ditmars Steinway,127,12,11/23/2016,0.46,0,4.0
15581667,Astoria Diamond,25079418,Najmah,Queens,Ditmars Steinway,75,24,9/4/2017,2.17,70,4.0
13889399,Great 3 Bedroom Apt  Near Manhatthen,75919970,Scott,Queens,Ditmars Steinway,125,1,7/25/2016,0.07,0,4.0
16231738,Cozy 2BD Apartment - 10 Minutes to Manhattan!,106069003,Dan,Queens,Ditmars Steinway,130,2,3/5/2017,0.28,336,4.0
16426099,All season studio in Astoria,107682732,Elva,Queens,Ditmars Steinway,100,30,9/24/2017,3.24,300,4.0
16814700,Luxe 2 Floors 3 Bedroom 3 Full Bath 2 Living quiet,25144266,Therina,Queens,Ditmars Steinway,360,14,9/23/2017,1.63,133,4.0
15437290,Luxe 2 Bedroom 2 Full Bathroom Safe Comfy Quiet,25144266,Therina,Queens,Ditmars Steinway,199,48,9/30/2017,4.08,133,4.0
15568588,"Quiet,clean,cutest place! 20mins to Manhattan.",22375670,Alona,Queens,Ditmars Steinway,89,6,8/5/2017,0.56,321,4.0
19721291,Astoria Park & Pool-Apartment Min from mid-town.,47936642,Benjamin,Queens,Ditmars Steinway,100,2,7/30/2017,0.88,0,4.0
13601150,Clean Room near Laguardia and Midtown Manhattan,12193533,Sevil,Queens,Ditmars Steinway,47,11,9/25/2017,2.06,359,4.0
9275453,"Spacious House, 20 min to Manhattan",48171900,Michael,Queens,Ditmars Steinway,80,2,1/3/2016,0.09,0,4.0
18974335,"SUPER NICE 1Bed 2mins from Subway(N,W)",22122916,Kristine,Queens,Ditmars Steinway,85,1,8/15/2017,0.6,333,4.0
13991331,Astoria Queens NYC Studio Basement,83531864,Carlos,Queens,Ditmars Steinway,160,2,9/19/2017,0.5,337,4.0
10283574,Apt next to Astoria park,35518413,Suhel,Queens,Ditmars Steinway,100,101,9/29/2017,5.66,316,4.0
19624896,LGA ASTORIA Badaboom in city,138042855,Eamon,Queens,Ditmars Steinway,55,2,7/14/2017,0.7,0,4.0
20280692,"2 bedroom New York, Queens",46407533,Alba,Queens,Ditmars Steinway,160,1,9/3/2017,1.0,0,4.0
4550494,"2BR, 2 Full Bath, Quiet, Convenient, SPACE",785283,Melinda,Queens,Ditmars Steinway,235,21,9/26/2017,0.61,125,4.0
5992686,Private Turquoise Room in Astoria,11050098,Xiao,Queens,Ditmars Steinway,40,179,9/9/2017,5.99,344,4.0
20408846,Close to Subway★15min to Manhattan★Min. to LGA/JFK,135088799,Christian,Queens,Ditmars Steinway,68,4,9/25/2017,4.0,161,4.0
5466955,Astoria high line,28018723,Red,Queens,Ditmars Steinway,100,6,7/31/2017,0.37,288,4.0
